"","donor","cell_type1","total_features","cell_type","species","dataset","species_donor"
"mouse2_lib1.final_cell_0069",2,"beta",1882,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0070",2,"alpha",2579,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0071",2,"alpha",1965,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0072",2,"alpha",2166,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0073",2,"beta",2362,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0074",2,"beta",2393,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0075",2,"beta",2102,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0076",2,"alpha",2036,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0077",2,"beta",2717,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0078",2,"endothelial",2775,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0079",2,"beta",2108,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0080",2,"beta",2349,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0081",2,"beta",2462,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0082",2,"delta",2429,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0083",2,"B_cell",2153,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0084",2,"alpha",2040,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0085",2,"alpha",1770,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0086",2,"ductal",2265,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0087",2,"beta",2417,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0088",2,"beta",2643,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0089",2,"beta",2818,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0090",2,"beta",2512,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0091",2,"delta",2094,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0092",2,"alpha",1947,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0093",2,"beta",1998,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0094",2,"beta",2476,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0095",2,"beta",2277,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0096",2,"beta",2161,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0097",2,"delta",2208,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0098",2,"delta",2335,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0099",2,"delta",2337,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0100",2,"delta",2569,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0101",2,"beta",1951,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0102",2,"beta",2409,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0103",2,"beta",2457,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0104",2,"delta",2488,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0105",2,"beta",1352,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0106",2,"beta",2278,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0107",2,"alpha",1792,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0108",2,"beta",2011,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0109",2,"delta",2193,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0110",2,"gamma",2157,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0111",2,"beta",2457,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0112",2,"delta",2002,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0113",2,"beta",2067,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0114",2,"beta",2038,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0115",2,"beta",2347,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0116",2,"delta",2354,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0117",2,"beta",1691,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0118",2,"gamma",2342,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0119",2,"gamma",2068,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0120",2,"ductal",2424,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0121",2,"beta",2151,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0122",2,"beta",1605,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0123",2,"beta",1549,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0124",2,"beta",1992,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0125",2,"beta",1950,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0126",2,"beta",1982,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0127",2,"alpha",2123,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0128",2,"alpha",1953,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0129",2,"endothelial",2213,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0130",2,"beta",2164,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0131",2,"beta",1972,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0132",2,"beta",2454,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0133",2,"beta",2374,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0134",2,"beta",1872,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0135",2,"beta",2067,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0136",2,"beta",1965,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0137",2,"beta",2053,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0138",2,"alpha",1654,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0139",2,"beta",1431,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0140",2,"beta",1993,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0141",2,"ductal",2257,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0142",2,"ductal",2168,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0143",2,"beta",2018,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0144",2,"gamma",2058,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0145",2,"delta",2260,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0146",2,"gamma",1960,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0147",2,"beta",2139,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0148",2,"alpha",1806,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0149",2,"alpha",1554,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0150",2,"beta",1853,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0151",2,"beta",2148,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0152",2,"ductal",2438,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0153",2,"alpha",1703,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0154",2,"beta",1978,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0155",2,"beta",1668,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0156",2,"alpha",1718,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0157",2,"alpha",2096,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0158",2,"alpha",1442,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0159",2,"beta",1444,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0160",2,"beta",1525,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0161",2,"beta",2091,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0162",2,"gamma",1999,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0163",2,"delta",2079,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0164",2,"beta",2105,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0165",2,"alpha",829,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0166",2,"beta",2545,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0167",2,"delta",2096,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0168",2,"beta",1877,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0169",2,"delta",1840,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0170",2,"beta",1584,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0171",2,"alpha",1438,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0172",2,"beta",1636,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0173",2,"delta",2238,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0174",2,"beta",1851,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0175",2,"alpha",1732,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0176",2,"beta",2019,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0177",2,"beta",1981,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0178",2,"alpha",2082,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0179",2,"beta",1650,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0180",2,"beta",1735,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0181",2,"alpha",1447,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0182",2,"alpha",1399,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0183",2,"beta",1860,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0184",2,"alpha",1801,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0185",2,"beta",1922,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0186",2,"alpha",1154,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0187",2,"alpha",1446,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0188",2,"beta",1106,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0189",2,"alpha",1780,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0190",2,"beta",1997,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0191",2,"beta",1100,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0192",2,"beta",1458,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0193",2,"beta",1422,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0194",2,"alpha",1792,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0195",2,"beta",1920,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0196",2,"alpha",1693,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0197",2,"beta",1793,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0198",2,"macrophage",1788,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0199",2,"alpha",1485,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0200",2,"beta",1972,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0201",2,"beta",1513,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0202",2,"beta",1874,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0203",2,"delta",1824,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0204",2,"gamma",1453,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0205",2,"macrophage",1480,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0206",2,"gamma",1765,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0207",2,"beta",1651,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0208",2,"macrophage",1438,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0209",2,"alpha",798,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0210",2,"alpha",1691,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0211",2,"beta",1593,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0212",2,"beta",876,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0213",2,"endothelial",1834,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0214",2,"beta",2016,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0215",2,"beta",1988,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0216",2,"delta",1453,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0217",2,"gamma",1695,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0218",2,"beta",1161,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0219",2,"beta",1352,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0220",2,"immune_other",1438,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0221",2,"beta",1124,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0222",2,"delta",2112,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0223",2,"beta",1512,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0224",2,"delta",1336,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0225",2,"beta",1254,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0226",2,"beta",1204,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0227",2,"beta",1471,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0228",2,"beta",1555,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0229",2,"alpha",1636,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0230",2,"alpha",1351,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0231",2,"gamma",1160,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0232",2,"macrophage",1448,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0233",2,"beta",749,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0234",2,"beta",967,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0235",2,"alpha",1574,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0236",2,"delta",1380,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0237",2,"activated_stellate",1417,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0238",2,"beta",1353,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0239",2,"beta",1695,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0240",2,"endothelial",1649,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0241",2,"beta",1298,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0242",2,"beta",1757,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0243",2,"beta",1593,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0244",2,"beta",1175,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0245",2,"beta",1586,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0246",2,"endothelial",1762,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0247",2,"alpha",1281,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0248",2,"alpha",794,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0249",2,"alpha",1209,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0250",2,"beta",1425,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0251",2,"macrophage",1809,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0252",2,"macrophage",1508,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0253",2,"beta",770,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0254",2,"beta",1265,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0255",2,"beta",1012,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0256",2,"delta",1535,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0257",2,"beta",1104,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0258",2,"beta",1231,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0259",2,"delta",1149,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0260",2,"beta",1432,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0261",2,"delta",935,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0262",2,"delta",749,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0263",2,"endothelial",1618,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0264",2,"delta",1147,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0265",2,"beta",787,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0266",2,"beta",1177,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0267",2,"ductal",1746,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0268",2,"ductal",1128,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0269",2,"alpha",1069,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0270",2,"endothelial",1448,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0271",2,"beta",1040,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0272",2,"alpha",1503,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0273",2,"alpha",765,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0274",2,"endothelial",1450,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0275",2,"beta",970,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0276",2,"beta",1186,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0277",2,"beta",823,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0278",2,"beta",1107,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0279",2,"beta",917,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0280",2,"B_cell",849,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0281",2,"beta",1103,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0282",2,"quiescent_stellate",1339,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0283",2,"alpha",880,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0284",2,"alpha",748,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0285",2,"activated_stellate",1458,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0286",2,"endothelial",1509,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0287",2,"beta",816,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0288",2,"beta",753,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0289",2,"gamma",877,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0290",2,"endothelial",1341,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0291",2,"beta",793,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0292",2,"activated_stellate",1611,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0293",2,"alpha",858,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0294",2,"quiescent_stellate",1205,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0295",2,"beta",922,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0296",2,"delta",1294,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0297",2,"beta",916,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0298",2,"endothelial",1212,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0299",2,"beta",986,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0300",2,"beta",760,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0301",2,"B_cell",945,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0302",2,"activated_stellate",1198,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0303",2,"macrophage",1073,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0304",2,"alpha",1042,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0305",2,"endothelial",1123,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0306",2,"macrophage",1212,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0307",2,"beta",790,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0308",2,"delta",862,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0309",2,"beta",814,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0310",2,"delta",1117,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0311",2,"delta",762,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0312",2,"beta",790,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0313",2,"beta",806,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0314",2,"beta",784,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0315",2,"delta",743,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0316",2,"beta",806,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0317",2,"quiescent_stellate",1013,"stellate","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0318",2,"B_cell",817,"immune","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0319",2,"endothelial",1012,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0320",2,"endothelial",1068,"endothelial","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0001",2,"beta",4355,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0002",2,"beta",4296,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0003",2,"beta",3536,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0004",2,"delta",2851,"delta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0005",2,"beta",2910,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0006",2,"beta",3862,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0007",2,"ductal",3572,"ductal","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0008",2,"beta",3406,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0009",2,"beta",3035,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0010",2,"beta",2994,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0011",2,"beta",2907,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0012",2,"beta",3046,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0013",2,"gamma",2690,"gamma","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0014",2,"beta",3264,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0015",2,"alpha",2690,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0016",2,"beta",3046,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0017",2,"beta",2974,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0018",2,"beta",2703,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0019",2,"beta",2799,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0020",2,"beta",3739,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0021",2,"ductal",3553,"ductal","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0022",2,"alpha",1716,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0023",2,"alpha",2001,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0024",2,"beta",2585,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0025",2,"alpha",2161,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0026",2,"delta",2751,"delta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0027",2,"beta",2926,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0028",2,"alpha",2388,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0029",2,"beta",2167,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0030",2,"delta",2581,"delta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0031",2,"alpha",1309,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0032",2,"beta",3268,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0033",2,"beta",2678,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0034",2,"alpha",2213,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0035",2,"delta",1885,"delta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0036",2,"alpha",2434,"alpha","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0037",2,"beta",2569,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0038",2,"beta",2826,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0039",2,"beta",2627,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0040",2,"gamma",2140,"gamma","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0041",2,"gamma",2825,"gamma","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0042",2,"beta",3086,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0043",2,"beta",2077,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0044",2,"beta",3148,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0045",2,"beta",2486,"beta","mouse","inDrop","mouse2"
"mouse2_lib2.final_cell_0046",2,"delta",2636,"delta","mouse","inDrop","mouse2"
